T,mut_pct,label,cutoff,n,n_hits,detection_rate
100,0,hazardous,0.001,12666,12666,1.0
100,0,hazardous,1e-09,12666,12666,1.0
100,0,hazardous,1e-30,12666,12666,1.0
100,0,honest,0.001,12521,17,0.001357719032026196
100,0,honest,1e-09,12521,0,0.0
100,0,honest,1e-30,12521,0,0.0
100,1,hazardous,0.001,12391,12391,1.0
100,1,hazardous,1e-09,12391,12391,1.0
100,1,hazardous,1e-30,12391,12391,1.0
100,1,honest,0.001,12521,17,0.001357719032026196
100,1,honest,1e-09,12521,0,0.0
100,1,honest,1e-30,12521,0,0.0
100,10,hazardous,0.001,12575,12575,1.0
100,10,hazardous,1e-09,12575,12559,0.998727634194831
100,10,hazardous,1e-30,12575,7002,0.5568190854870775
100,10,honest,0.001,12521,17,0.001357719032026196
100,10,honest,1e-09,12521,0,0.0
100,10,honest,1e-30,12521,0,0.0
100,15,hazardous,0.001,12656,12590,0.9947850821744627
100,15,hazardous,1e-09,12656,11799,0.9322850821744627
100,15,hazardous,1e-30,12656,1196,0.09450063211125158
100,15,honest,0.001,12521,17,0.001357719032026196
100,15,honest,1e-09,12521,0,0.0
100,15,honest,1e-30,12521,0,0.0
100,20,hazardous,0.001,12741,11628,0.9126442194490229
100,20,hazardous,1e-09,12741,7864,0.6172199984302645
100,20,hazardous,1e-30,12741,90,0.007063809748057453
100,20,honest,0.001,12521,17,0.001357719032026196
100,20,honest,1e-09,12521,0,0.0
100,20,honest,1e-30,12521,0,0.0
100,5,hazardous,0.001,12568,12568,1.0
100,5,hazardous,1e-09,12568,12568,1.0
100,5,hazardous,1e-30,12568,12359,0.9833704646721834
100,5,honest,0.001,12521,17,0.001357719032026196
100,5,honest,1e-09,12521,0,0.0
100,5,honest,1e-30,12521,0,0.0
150,0,hazardous,0.001,12758,12758,1.0
150,0,hazardous,1e-09,12758,12758,1.0
150,0,hazardous,1e-30,12758,12758,1.0
150,0,honest,0.001,12521,26,0.0020765114607459467
150,0,honest,1e-09,12521,0,0.0
150,0,honest,1e-30,12521,0,0.0
150,1,hazardous,0.001,12468,12468,1.0
150,1,hazardous,1e-09,12468,12468,1.0
150,1,hazardous,1e-30,12468,12468,1.0
150,1,honest,0.001,12521,26,0.0020765114607459467
150,1,honest,1e-09,12521,0,0.0
150,1,honest,1e-30,12521,0,0.0
150,10,hazardous,0.001,12495,12495,1.0
150,10,hazardous,1e-09,12495,12495,1.0
150,10,hazardous,1e-30,12495,12249,0.98031212484994
150,10,honest,0.001,12521,26,0.0020765114607459467
150,10,honest,1e-09,12521,0,0.0
150,10,honest,1e-30,12521,0,0.0
150,15,hazardous,0.001,12407,12403,0.9996776013540744
150,15,hazardous,1e-09,12407,12320,0.9929878294511163
150,15,hazardous,1e-30,12407,7193,0.5797533650358668
150,15,honest,0.001,12521,26,0.0020765114607459467
150,15,honest,1e-09,12521,0,0.0
