T,mut_pct,evasion_type,threshold,fpr,tpr
100,0,evasion_pure,inf,0.0,0.0
100,0,evasion_pure,53.29157909986529,0.0,1.0
100,0,evasion_pure,4.357535479757878,0.001,1.0
100,0,evasion_pure,3.1643094285075746,0.017,1.0
100,0,evasion_pure,2.5228787452803374,0.078,1.0
100,0,evasion_pure,1.958607314841775,0.243,1.0
100,0,evasion_pure,1.3767507096020994,0.663,1.0
100,0,evasion_pure,0.769551078621726,0.966,1.0
100,0,evasion_pure,0.1804560644581313,1.0,1.0
100,0,evasion_pure,-inf,1.0,1.0
100,0,evasion_dilute,inf,0.0,0.0
100,0,evasion_dilute,53.29157909986529,0.0,1.0
100,0,evasion_dilute,4.357535479757878,0.001,1.0
100,0,evasion_dilute,3.1643094285075746,0.017,1.0
100,0,evasion_dilute,2.5228787452803374,0.078,1.0
100,0,evasion_dilute,1.958607314841775,0.243,1.0
100,0,evasion_dilute,1.3767507096020994,0.663,1.0
100,0,evasion_dilute,0.769551078621726,0.966,1.0
100,0,evasion_dilute,0.1804560644581313,1.0,1.0
100,0,evasion_dilute,-inf,1.0,1.0
100,1,evasion_pure,inf,0.0,0.0
100,1,evasion_pure,53.29157909986529,0.0,0.978
100,1,evasion_pure,52.694648630553374,0.0,0.98
100,1,evasion_pure,52.097453220686006,0.0,0.983
100,1,evasion_pure,51.5003129173816,0.0,0.985
100,1,evasion_pure,50.903089986991944,0.0,1.0
100,1,evasion_pure,4.357535479757878,0.001,1.0
100,1,evasion_pure,3.1643094285075746,0.017,1.0
100,1,evasion_pure,2.5228787452803374,0.078,1.0
100,1,evasion_pure,1.958607314841775,0.243,1.0
100,1,evasion_pure,1.3767507096020994,0.663,1.0
100,1,evasion_pure,0.769551078621726,0.966,1.0
100,1,evasion_pure,0.1804560644581313,1.0,1.0
100,1,evasion_pure,-inf,1.0,1.0
100,1,evasion_dilute,inf,0.0,0.0
100,1,evasion_dilute,53.29157909986529,0.0,0.378
100,1,evasion_dilute,52.694648630553374,0.0,0.379
100,1,evasion_dilute,52.097453220686006,0.0,0.388
100,1,evasion_dilute,51.5003129173816,0.0,0.39
100,1,evasion_dilute,50.903089986991944,0.0,0.736
100,1,evasion_dilute,50.30715308072277,0.0,0.743
100,1,evasion_dilute,49.709965388637485,0.0,0.752
100,1,evasion_dilute,49.11407366019857,0.0,0.761
100,1,evasion_dilute,48.51712641639125,0.0,0.924
100,1,evasion_dilute,47.920818753952375,0.0,0.927
100,1,evasion_dilute,47.32330639037513,0.0,0.928
100,1,evasion_dilute,46.72584215073632,0.0,0.933
100,1,evasion_dilute,46.13018179202067,0.0,0.975
100,1,evasion_dilute,45.53313237964589,0.0,0.979
100,1,evasion_dilute,44.935542010773084,0.0,0.98
100,1,evasion_dilute,44.34008379993015,0.0,0.982
100,1,evasion_dilute,43.74232142513082,0.0,0.998
100,1,evasion_dilute,41.95467702121334,0.0,0.999
100,1,evasion_dilute,41.356547323513816,0.0,1.0
100,1,evasion_dilute,4.357535479757878,0.001,1.0
100,1,evasion_dilute,3.1643094285075746,0.017,1.0
100,1,evasion_dilute,2.5228787452803374,0.078,1.0
100,1,evasion_dilute,1.958607314841775,0.243,1.0
100,1,evasion_dilute,1.3767507096020994,0.663,1.0
100,1,evasion_dilute,0.769551078621726,0.966,1.0
100,1,evasion_dilute,0.1804560644581313,1.0,1.0
100,1,evasion_dilute,-inf,1.0,1.0
100,10,evasion_pure,inf,0.0,0.0
100,10,evasion_pure,52.694648630553374,0.0,0.001
100,10,evasion_pure,50.903089986991944,0.0,0.006
100,10,evasion_pure,48.51712641639125,0.0,0.017
100,10,evasion_pure,47.920818753952375,0.0,0.019
100,10,evasion_pure,47.32330639037513,0.0,0.023
100,10,evasion_pure,46.72584215073632,0.0,0.026
100,10,evasion_pure,46.13018179202067,0.0,0.093
100,10,evasion_pure,45.53313237964589,0.0,0.102
100,10,evasion_pure,44.935542010773084,0.0,0.115
100,10,evasion_pure,44.34008379993015,0.0,0.129
100,10,evasion_pure,43.74232142513082,0.0,0.261
100,10,evasion_pure,43.14630178822382,0.0,0.297
100,10,evasion_pure,42.54975089168064,0.0,0.324
100,10,evasion_pure,41.95467702121334,0.0,0.344
100,10,evasion_pure,41.356547323513816,0.0,0.529
100,10,evasion_pure,40.7594507517174,0.0,0.567
100,10,evasion_pure,40.16304326294045,0.0,0.598
100,10,evasion_pure,39.5654310959658,0.0,0.635
100,10,evasion_pure,38.97061622231479,0.0,0.767
100,10,evasion_pure,38.37263414340727,0.0,0.794
100,10,evasion_pure,37.77469071827414,0.0,0.817
100,10,evasion_pure,37.1791420105603,0.0,0.844
100,10,evasion_pure,36.58169870868026,0.0,0.925
100,10,evasion_pure,35.98716277529483,0.0,0.938
100,10,evasion_pure,35.38827669199266,0.0,0.952
100,10,evasion_pure,34.79317412396815,0.0,0.963
100,10,evasion_pure,34.195179321278836,0.0,0.978
100,10,evasion_pure,33.598599459218455,0.0,0.983
100,10,evasion_pure,33.0017406615763,0.0,0.986
100,10,evasion_pure,32.40450377817442,0.0,0.991
100,10,evasion_pure,31.80966830182971,0.0,0.997
100,10,evasion_pure,30.018181392829337,0.0,0.999
100,10,evasion_pure,28.22767829327708,0.0,1.0
100,10,evasion_pure,4.357535479757878,0.001,1.0
100,10,evasion_pure,3.1643094285075746,0.017,1.0
100,10,evasion_pure,2.5228787452803374,0.078,1.0
100,10,evasion_pure,1.958607314841775,0.243,1.0
100,10,evasion_pure,1.3767507096020994,0.663,1.0
100,10,evasion_pure,0.769551078621726,0.966,1.0
100,10,evasion_pure,0.1804560644581313,1.0,1.0
100,10,evasion_pure,-inf,1.0,1.0
100,10,evasion_dilute,inf,0.0,0.0
100,10,evasion_dilute,48.51712641639125,0.0,0.002
100,10,evasion_dilute,47.920818753952375,0.0,0.003
100,10,evasion_dilute,46.72584215073632,0.0,0.004
100,10,evasion_dilute,46.13018179202067,0.0,0.01
100,10,evasion_dilute,44.935542010773084,0.0,0.011
100,10,evasion_dilute,44.34008379993015,0.0,0.012
100,10,evasion_dilute,43.74232142513082,0.0,0.025
100,10,evasion_dilute,43.14630178822382,0.0,0.026
