T,mut_pct,evasion_type,n_honest,n_evasion,auc,tpr_at_fpr0.01,tpr_at_fpr0.05,tpr_at_fpr0.1
100,0,evasion_pure,1000,1000,0.9999999999999999,1.0,1.0,1.0
100,0,evasion_dilute,1000,1000,0.9999999999999999,1.0,1.0,1.0
100,1,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
100,1,evasion_dilute,1000,1000,0.9999999999999999,1.0,1.0,1.0
100,10,evasion_pure,1000,1000,0.9999999999999999,1.0,1.0,1.0
100,10,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
100,15,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
100,15,evasion_dilute,1000,1000,0.9990565,0.991,0.994,0.997
100,20,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
100,20,evasion_dilute,1000,1000,0.9789220000000001,0.892,0.921,0.945
100,5,evasion_pure,1000,1000,0.9999999999999999,1.0,1.0,1.0
100,5,evasion_dilute,1000,1000,0.9999999999999999,1.0,1.0,1.0
150,0,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,0,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
150,1,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,1,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
150,10,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,10,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
150,15,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,15,evasion_dilute,1000,1000,0.9999990000000001,1.0,1.0,1.0
150,20,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,20,evasion_dilute,1000,1000,0.991674,0.968,0.977,0.977
150,5,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,5,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,0,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,0,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,1,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,1,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,10,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,10,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,15,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,15,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,20,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,20,evasion_dilute,1000,1000,0.9985255000000001,0.993,0.996,0.996
200,5,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,5,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
20,0,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
20,0,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
20,1,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
20,1,evasion_dilute,1000,1000,0.9961125,0.981,0.983,0.983
20,10,evasion_pure,1000,1000,0.9995930000000001,0.995,0.998,0.998
20,10,evasion_dilute,1000,1000,0.848537,0.49,0.564,0.564
20,15,evasion_pure,1000,1000,0.9947505,0.938,0.971,0.971
20,15,evasion_dilute,1000,1000,0.7102045000000001,0.241,0.303,0.303
20,20,evasion_pure,1000,1000,0.9738764999999999,0.767,0.865,0.865
20,20,evasion_dilute,1000,1000,0.619086,0.123,0.174,0.174
20,5,evasion_pure,1000,1000,0.9999939999999999,1.0,1.0,1.0
20,5,evasion_dilute,1000,1000,0.9447960000000001,0.789,0.83,0.83
30,0,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
30,0,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
