T,mut_pct,label,cutoff,n,n_hits,detection_rate
100,0,hazardous,0.001,12656,12656,1.0
100,0,hazardous,1e-09,12656,12656,1.0
100,0,hazardous,1e-30,12656,12656,1.0
100,0,honest,0.001,12469,58,0.004651535808805838
100,0,honest,1e-09,12469,0,0.0
100,0,honest,1e-30,12469,0,0.0
100,1,hazardous,0.001,12586,12586,1.0
100,1,hazardous,1e-09,12586,12586,1.0
100,1,hazardous,1e-30,12586,12586,1.0
100,1,honest,0.001,12469,58,0.004651535808805838
100,1,honest,1e-09,12469,0,0.0
100,1,honest,1e-30,12469,0,0.0
100,10,hazardous,0.001,12642,12642,1.0
100,10,hazardous,1e-09,12642,12623,0.9984970732479038
100,10,hazardous,1e-30,12642,6405,0.5066445182724253
100,10,honest,0.001,12469,58,0.004651535808805838
100,10,honest,1e-09,12469,0,0.0
100,10,honest,1e-30,12469,0,0.0
100,15,hazardous,0.001,12401,12278,0.9900814450447545
100,15,hazardous,1e-09,12401,11296,0.9108942827191355
100,15,hazardous,1e-30,12401,948,0.07644544794774615
100,15,honest,0.001,12469,58,0.004651535808805838
100,15,honest,1e-09,12469,0,0.0
100,15,honest,1e-30,12469,0,0.0
100,20,hazardous,0.001,12522,11106,0.8869190225203641
100,20,hazardous,1e-09,12522,6815,0.5442421338444338
100,20,hazardous,1e-30,12522,41,0.0032742373422775914
100,20,honest,0.001,12469,58,0.004651535808805838
100,20,honest,1e-09,12469,0,0.0
100,20,honest,1e-30,12469,0,0.0
100,5,hazardous,0.001,12266,12266,1.0
100,5,hazardous,1e-09,12266,12266,1.0
100,5,hazardous,1e-30,12266,11988,0.9773357247676504
100,5,honest,0.001,12469,58,0.004651535808805838
100,5,honest,1e-09,12469,0,0.0
100,5,honest,1e-30,12469,0,0.0
150,0,hazardous,0.001,12732,12732,1.0
150,0,hazardous,1e-09,12732,12732,1.0
150,0,hazardous,1e-30,12732,12732,1.0
150,0,honest,0.001,12444,30,0.0024108003857280617
150,0,honest,1e-09,12444,1,8.036001285760205e-05
150,0,honest,1e-30,12444,0,0.0
150,1,hazardous,0.001,12428,12428,1.0
150,1,hazardous,1e-09,12428,12428,1.0
150,1,hazardous,1e-30,12428,12428,1.0
150,1,honest,0.001,12444,30,0.0024108003857280617
150,1,honest,1e-09,12444,1,8.036001285760205e-05
150,1,honest,1e-30,12444,0,0.0
150,10,hazardous,0.001,12545,12545,1.0
150,10,hazardous,1e-09,12545,12545,1.0
150,10,hazardous,1e-30,12545,12245,0.9760860900757273
150,10,honest,0.001,12444,30,0.0024108003857280617
150,10,honest,1e-09,12444,1,8.036001285760205e-05
150,10,honest,1e-30,12444,0,0.0
150,15,hazardous,0.001,12569,12561,0.9993635134059989
150,15,hazardous,1e-09,12569,12437,0.9894979711989816
150,15,hazardous,1e-30,12569,6907,0.5495266130957117
150,15,honest,0.001,12444,30,0.0024108003857280617
150,15,honest,1e-09,12444,1,8.036001285760205e-05
150,15,honest,1e-30,12444,0,0.0
150,20,hazardous,0.001,12709,12227,0.9620741207018648
150,20,hazardous,1e-09,12709,10165,0.7998268943268549
150,20,hazardous,1e-30,12709,997,0.0784483436934456
150,20,honest,0.001,12444,30,0.0024108003857280617
150,20,honest,1e-09,12444,1,8.036001285760205e-05
150,20,honest,1e-30,12444,0,0.0
150,5,hazardous,0.001,12476,12476,1.0
150,5,hazardous,1e-09,12476,12476,1.0
150,5,hazardous,1e-30,12476,12476,1.0
150,5,honest,0.001,12444,30,0.0024108003857280617
150,5,honest,1e-09,12444,1,8.036001285760205e-05
150,5,honest,1e-30,12444,0,0.0
200,0,hazardous,0.001,12640,12640,1.0
200,0,hazardous,1e-09,12640,12640,1.0
200,0,hazardous,1e-30,12640,12640,1.0
200,0,honest,0.001,12436,33,0.0026535863621743325
200,0,honest,1e-09,12436,1,8.041170794467674e-05
200,0,honest,1e-30,12436,0,0.0
200,1,hazardous,0.001,12536,12536,1.0
200,1,hazardous,1e-09,12536,12536,1.0
200,1,hazardous,1e-30,12536,12536,1.0
200,1,honest,0.001,12436,33,0.0026535863621743325
200,1,honest,1e-09,12436,1,8.041170794467674e-05
200,1,honest,1e-30,12436,0,0.0
200,10,hazardous,0.001,12700,12700,1.0
