T,mut_pct,evasion_type,n_honest,n_evasion,auc,tpr_at_fpr0.01,tpr_at_fpr0.05,tpr_at_fpr0.1
100,0,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
100,0,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
100,1,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
100,1,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
100,10,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
100,10,evasion_dilute,1000,1000,0.999998,1.0,1.0,1.0
100,15,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
100,15,evasion_dilute,1000,1000,0.997185,0.988,0.99,0.994
100,20,evasion_pure,1000,1000,0.999998,1.0,1.0,1.0
100,20,evasion_dilute,1000,1000,0.953685,0.836,0.86,0.887
100,5,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
100,5,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
150,0,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,0,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
150,1,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,1,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
150,10,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,10,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
150,15,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,15,evasion_dilute,1000,1000,0.9999739999999999,1.0,1.0,1.0
150,20,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,20,evasion_dilute,1000,1000,0.9837655,0.943,0.958,0.966
150,5,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
150,5,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,0,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,0,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,1,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,1,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,10,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,10,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
200,15,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,15,evasion_dilute,1000,1000,0.999998,1.0,1.0,1.0
200,20,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,20,evasion_dilute,1000,1000,0.9968219999999999,0.986,0.99,0.99
200,5,evasion_pure,1000,1000,1.0,1.0,1.0,1.0
200,5,evasion_dilute,1000,1000,1.0,1.0,1.0,1.0
20,0,evasion_pure,1000,1000,0.9994999999999999,1.0,1.0,1.0
20,0,evasion_dilute,1000,1000,0.9994999999999999,1.0,1.0,1.0
20,1,evasion_pure,1000,1000,0.9994999999999999,1.0,1.0,1.0
20,1,evasion_dilute,1000,1000,0.992219,0.873,0.987,0.987
